Q260,Jean-François Champollion
Q272,Paul Morand
Q296,Claude Monet
Q297,Diego Velázquez
Q303,Elvis Presley
Q301,El Greco
Q306,Sebastian Piñera
Q307,Galileo Galilei
Q320,Michelle Bachelet
Q326,Eduardo Frei Ruiz-Tagle
Q331,Ricardo Lagos
Q329,Nicolas Sarkozy
Q335,Patricio Aylwin
Q346,Louis IX of France
Q354,Piet Kraak
Q352,Adolf Hitler
Q353,Blanche of Castile
Q360,Julian Assange
Q368,Augusto Pinochet
Q379,František Plánička
Q377,Yanka Kupala
Q392,Bob Dylan
Q400,Jenna Jameson
Q407,Linda Lovelace
Q410,Carl Sagan
Q409,Bob Marley
Q440,Salvador Allende
Q444,Lech Wałęsa
Q448,Denis Diderot
Q449,Georges Brassens
Q464,Philipp Ludwig von Seidel
Q475,Eduardo Frei Montalva
Q489,Bill Maher
Q493,Arthur Rimbaud
Q498,"Ulrich Frédéric Woldemar, Comte de Lowendal"
Q502,Stendhal
Q501,Charles Baudelaire
Q504,Émile Zola
Q512,Vladimir Vysotsky
Q517,Napoleon
Q530,Ingemar Stenmark
Q529,Louis Pasteur
Q535,Victor Hugo
Q539,Giuseppe Garibaldi
Q555,Rachel Maddow
Q558,Hedi Slimane
Q559,Claude Bourgelat
Q557,Patti Smith
Q562,Pierre Poivre
Q563,Brigitte Fontaine
Q567,Angela Merkel
Q579,Carlos Ibáñez del Campo
Q576,Jorge Alessandri
Q590,Luís de Camões
Q603,Frédéric Taddeï
Q600,Ichiro Suzuki
Q607,Michael Bloomberg
Q605,Ezra Klein
Q609,Kateri Tekakwitha
Q615,Lionel Messi
Q619,Nicolaus Copernicus
Q624,Alessandro Del Piero
Q635,Cleopatra
Q632,Jean Moulin
Q633,Neil Young
Q636,Kate Bush
Q651,Friedrich Theodor Vischer
Q675,André-Marie Ampère
Q680,Alessandro Volta
Q687,Molière
Q692,William Shakespeare
Q714,Stevie Wonder
Q720,Genghis Khan
Q742,Jean Racine
Q747,Pierre Corneille
Q755,Paul Verlaine
Q762,Leonardo da Vinci
Q767,Stéphane Mallarmé
Q765,Dario Fo
Q814,Coco Austin
Q815,Gabriel Gonzáles Videla
Q820,Juan Antonio Rios
Q835,Mikhail Bulgakov
Q838,Andrei Rublev
Q839,Georgina Cassar
Q845,Pedro Aguirre Cerda
Q23,George Washington
Q42,Douglas Adams
Q76,Barack Obama
Q80,Tim Berners-Lee
Q91,Abraham Lincoln
Q157,François Hollande
Q181,Jimmy Wales
Q186,Ken Jennings
Q185,Larry Sanger
Q192,David Cameron
Q206,Stephen Harper
Q207,George W. Bush
Q254,Wolfgang Amadeus Mozart
Q255,Ludwig van Beethoven
Q848,Arturo Alessandri
Q849,François Villon
Q855,Joseph Stalin
Q853,Andrei Tarkovsky
Q859,Plato
Q857,Juan Luis Sanfuentes
Q862,Joseph Brodsky
Q868,Aristotle
Q873,Meryl Streep
Q882,Charlie Chaplin
Q885,Józef Piłsudski
Q892,J. R. R. Tolkien
Q905,Franz Kafka
Q909,Jorge Luis Borges
Q913,Socrates
Q920,J. Bernlef
Q926,Roald Amundsen
Q927,Harry Mulisch
Q930,Konstantin Melnikov
Q935,Isaac Newton
Q939,Pedro I
Q937,Albert Einstein
Q946,Donald Tusk
Q949,John Bardeen
Q984,Miles Franklin
Q991,Fyodor Dostoyevsky
Q989,John Paul II
Q997,Andrei Sakharov
Q1001,Mahatma Gandhi
Q1023,Roman Camenzind
Q1031,France Prešeren
Q1035,Charles Darwin
Q1043,Carl Linnaeus
Q1047,Jawaharlal Nehru
Q1051,Ivan Regen
Q1048,Julius Caesar
Q1058,Narendra Modi
Q1056,Italo Balbo
Q1067,Dante Alighieri
Q1064,Alessandro Manzoni
Q1081,Julio Bashmore
Q1124,Bill Clinton
Q1145,Jean-Philippe Rameau
Q1151,Hector Berlioz
Q1149,Indira Gandhi
Q1178,Maurice Ravel
Q1189,Usain Bolt
Q1192,Jean-Baptiste Lully
Q1203,John Lennon
Q1217,Hubert Salentin
Q1220,Giorgio Napolitano
Q1224,Carlo Azeglio Ciampi
Q1225,Bruce Springsteen
Q1230,Francesco Cossiga
Q1228,Oscar Luigi Scalfaro
Q1235,Giovanni Leone
Q1233,Sandro Pertini
Q1238,Giuseppe Saragat
Q1242,Luigi Einaudi
Q1240,Antonio Segni
Q1241,Giovanni Gronchi
Q1245,Enrico de Nicola
Q1254,Kofi Annan
Q1253,Ban Ki-moon
Q1259,Javier Pérez de Cuéllar
Q1257,Boutros Boutros-Ghali
Q1260,Kurt Waldheim
Q1267,Dag Hammarskjöld
Q1264,U Thant
Q1271,Trygve Lie
Q1268,Frédéric Chopin
Q1275,Gladwyn Jebb
Q1276,Leonard Cohen
Q1290,Blaise Pascal
Q1294,Ramón Barros Luco
Q1298,Pedro Montt
Q1300,Germán Riesco
Q1318,Aníbal Zañartu
Q1319,Federico Errázuriz Echaurren
Q1316,Saddam Hussein
Q1317,Osama bin Laden
Q1322,José Manuel Balmaceda
Q1323,Domingo Santa María
Q1320,Jorge Montt
Q1326,Federico Errázuriz Zañartu
Q1327,José Joaquín Pérez
Q1324,Aníbal Pinto
Q1325,Friedrich Hayek
Q1330,José Joaquín Prieto
Q1331,Manuel Blanco Encalada
Q1328,Manuel Montt
Q1329,Manuel Bulnes
Q1332,Ramón Freire
Q1333,Francisco Antonio Pinto
Q1339,Johann Sebastian Bach
Q1340,Antonio Vivaldi
Q1381,Dave Arneson
Q1394,Vladimir Lenin
Q1395,Leo Ortolani
Q1398,Virgil
Q1399,Niccolò Machiavelli
Q1402,Giovanni Boccaccio
Q1403,Luigi Pirandello
Q1401,Petrarch
Q1407,Tiberius
Q1405,Augustus
Q1411,Claudius
